Symbol, Date, Close, Volume, Open, High, Low
AAPL, 10/29/2020, 115.32, 146129200, 112.37, 116.93, 112.2
AAPL, 10/28/2020, 111.2, 143937800, 115.05, 115.43, 111.1
AAPL, 10/27/2020, 116.6, 92276770, 115.49, 117.28, 114.5399
AAPL, 10/26/2020, 115.05, 111850700, 114.01, 116.55, 112.88
AAPL, 10/23/2020, 115.04, 82572650, 116.39, 116.55, 114.28
AAPL, 10/22/2020, 115.75, 101988000, 117.45, 118.04, 114.59
AAPL, 10/21/2020, 116.87, 89945980, 116.67, 118.705, 116.45
AAPL, 10/20/2020, 117.51, 124423700, 116.2, 118.98, 115.63
AAPL, 09/29/2020, 114.09, 100060500, 114.55, 115.31, 113.57
